,book_id,user_id,rating
0,1,314,5
1,1,439,3
2,1,588,5
3,1,1169,4
4,1,1185,4
5,1,2077,4
6,1,2487,4
7,1,2900,5
8,1,3662,4
9,1,3922,5
10,1,5379,5
11,1,5461,3
12,1,5885,5
13,1,6630,5
14,1,7563,3
15,1,9246,1
16,1,10140,4
17,1,10146,5
18,1,10246,4
19,1,10335,4
20,1,10610,5
21,1,10944,5
22,1,11854,4
23,1,11927,4
24,1,12471,5
25,1,13282,5
26,1,13544,5
27,1,15494,5
28,1,16377,4
29,1,16913,5
30,1,17434,5
31,1,17663,5
32,1,17984,5
33,1,18031,5
34,1,18313,5
35,1,18361,4
36,1,20076,3
37,1,20467,3
38,1,20848,5
39,1,21228,5
40,1,21487,4
41,1,21713,5
42,1,22602,4
43,1,23576,4
44,1,23612,4
45,1,24326,5
46,1,24389,4
47,1,24499,5
48,1,24834,4
49,1,24845,5
50,1,25164,4
51,1,25182,5
52,1,25214,4
53,1,26145,4
54,1,26629,4
55,1,26661,4
56,1,28158,4
57,1,28767,5
58,1,29123,3
59,1,29703,5
60,1,30681,5
61,1,31001,4
62,1,32055,4
63,1,32305,5
64,1,32592,4
65,1,32635,5
66,1,32748,5
67,1,32923,5
68,1,33065,4
69,1,33697,4
70,1,33716,5
71,1,33872,5
72,1,33890,3
73,1,37284,5
74,1,37834,5
75,1,38080,4
76,1,38082,5
77,1,38475,4
78,1,39423,3
79,1,41074,3
80,1,42404,5
81,1,43985,4
82,1,44243,2
83,1,44397,5
84,1,45269,4
85,1,45493,5
86,1,46977,4
87,1,47476,4
88,1,47746,5
89,1,47800,5
90,1,48482,3
91,1,49298,4
92,1,50104,5
93,1,50342,3
94,1,51166,4
95,1,51460,3
96,1,51480,1
97,1,51838,5
98,1,52036,2
99,1,53245,4
100,2,1169,3
101,2,3022,4
102,2,3922,5
103,2,5115,4
104,2,5436,5
105,2,5461,4
106,2,5885,4
107,2,6063,1
108,2,6342,3
109,2,6630,5
110,2,8167,2
111,2,9731,4
112,2,10111,5
113,2,10140,3
114,2,10288,5
115,2,10509,2
116,2,10610,5
117,2,10751,3
118,2,10944,5
119,2,11285,4
120,2,11408,5
121,2,11691,4
122,2,11692,3
123,2,11868,5
124,2,11927,5
125,2,11945,5
126,2,12874,4
127,2,12946,5
128,2,13282,5
129,2,13794,1
130,2,14372,3
131,2,14546,5
132,2,14603,4
133,2,15604,4
134,2,16913,2
135,2,17434,5
136,2,17566,4
137,2,17643,1
138,2,17663,5
139,2,17984,5
140,2,18313,5
141,2,18361,4
142,2,19526,4
143,2,19724,5
144,2,19729,4
145,2,19942,5
146,2,21217,4
147,2,21228,4
148,2,21487,5
149,2,21676,5
150,2,21733,5
151,2,22602,4
152,2,23576,5
153,2,23612,5
154,2,24499,5
155,2,24834,4
156,2,25164,4
157,2,25182,5
158,2,26145,4
159,2,26629,4
160,2,27499,5
161,2,28767,4
162,2,30313,5
163,2,30681,4
164,2,30944,5
165,2,32055,4
166,2,32305,5
167,2,32592,4
168,2,32635,4
169,2,32748,5
170,2,32918,5
171,2,33065,5
172,2,33697,4
173,2,33716,5
174,2,33872,5
175,2,36099,5
176,2,37834,4
177,2,38082,5
178,2,42404,5
179,2,42508,4
180,2,42810,4
181,2,45269,4
182,2,45493,5
183,2,46421,5
184,2,46977,3
185,2,47476,3
186,2,47478,2
187,2,47800,5
188,2,48482,5
189,2,48559,5
190,2,48687,1
191,2,49298,5
192,2,50096,5
193,2,50104,5
194,2,50133,5
195,2,51166,5
196,2,51460,4
197,2,51838,4
198,2,52036,3
199,2,53292,5
200,3,314,3
201,3,588,1
202,3,2077,2
203,3,2487,3
204,3,2900,3
205,3,3662,4
206,3,4536,1
207,3,5115,4
208,3,5272,5
209,3,5461,2
210,3,5885,4
211,3,6063,5
212,3,6630,5
213,3,6634,3
214,3,7001,4
215,3,9246,1
216,3,9731,2
217,3,9771,3
218,3,10140,3
219,3,10246,1
220,3,10249,5
221,3,10509,1
222,3,10610,1
223,3,10751,1
224,3,10944,1
225,3,11285,2
226,3,11408,3
227,3,11599,4
228,3,11854,1
229,3,11927,4
230,3,12471,2
231,3,12946,4
232,3,13274,5
233,3,13282,5
234,3,13794,1
235,3,14546,5
236,3,15604,1
237,3,16377,1
238,3,16569,1
239,3,16913,4
240,3,17434,4
241,3,17663,4
242,3,18031,3
243,3,18313,5
244,3,19724,4
245,3,19942,4
246,3,19984,2
247,3,20076,3
248,3,20782,4
249,3,20848,4
250,3,21228,3
251,3,21487,3
252,3,21733,1
253,3,22602,3
254,3,23576,1
255,3,23612,3
256,3,24326,3
257,3,24389,3
258,3,25182,3
259,3,25214,1
260,3,26398,2
261,3,26629,4
262,3,28767,3
263,3,29703,1
264,3,30681,4
265,3,32305,1
266,3,32592,5
267,3,32635,4
268,3,32918,5
269,3,33065,1
270,3,33716,3
271,3,36099,4
272,3,36240,2
273,3,37284,1
274,3,37834,4
275,3,37855,3
276,3,38080,5
277,3,38082,3
278,3,38475,3
279,3,42404,5
280,3,43602,4
281,3,43985,2
282,3,46977,2
283,3,47746,5
284,3,48482,3
285,3,48687,1
286,3,49288,5
287,3,49289,5
288,3,49295,5
289,3,49297,5
290,3,49298,1
291,3,50096,5
292,3,50101,5
293,3,50102,5
294,3,50104,5
295,3,50133,5
296,3,51166,3
297,3,51460,2
298,3,52036,1
299,3,53292,5
400,5,314,4
401,5,1169,5
402,5,1952,5
403,5,2324,5
404,5,2487,3
405,5,2900,5
406,5,3022,1
407,5,3662,4
408,5,3739,5
409,5,3922,2
410,5,5115,3
411,5,5461,5
412,5,6342,5
413,5,6630,3
414,5,7001,5
415,5,8167,4
416,5,8370,3
417,5,9246,3
418,5,10111,5
419,5,10246,4
